Date,Block,Liquidity,Price
2024-01-01,18908894,20500328755020716289,2280.744998204422
2024-01-02,18916001,14926724960586878708,2351.2761827100303
2024-01-03,18923123,13414807463523006599,2355.9757046096083
2024-01-04,18930252,11424393562854887338,2210.1850498519984
2024-01-05,18937380,12453647101533358277,2269.745997571423
2024-01-06,18944480,11687005496855121730,2269.3695722609564
2024-01-07,18951538,11712655150393514989,2240.7057767401293
2024-01-08,18958621,9710712628985377634,2221.305450782043
2024-01-09,18965710,14102748097240158484,2332.5904228679433
2024-01-10,18972837,16246877688725961465,2345.279633643182
2024-01-11,18979977,3660178919474756768,2583.41537020083
2024-01-12,18987103,6483062345592492865,2617.8178682197827
2024-01-13,18994253,7766537235059735085,2521.6654474678044
2024-01-14,19001406,10951194965240803797,2577.2230121191124
2024-01-15,19008564,37393100325707683086,2471.416111630303
2024-01-16,19015723,8590692180524760327,2510.768003492544
2024-01-17,19022889,14105496401331580010,2587.7299553420753
2024-01-18,19030032,8840296426047804069,2526.927393499709
